analysis,method,nuisance_seed,pair_id,statistic,p_value,permutations,exceedances,bandwidth,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,role,holm_all_pairs_p,holm_replication_p
observed,quotient_exact,20260731,pair_01,0.003643781768319254,0.0078125,256,2,5.7314766778008135,0.041462360082269,0.35053751984024345,10000.0,primary,0.078125,0.0078125
observed,quotient_exact,20260731,pair_02,0.004008483115694239,0.0859375,256,22,4.298224041509951,,,,replication,0.171875,0.171875
observed,quotient_exact,20260731,pair_03,0.004465351350659619,0.015625,256,4,5.398786796635266,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260731,pair_04,0.12660419501891929,0.0078125,256,2,6.493485207381483,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260731,pair_05,0.003078941038449412,0.0078125,256,2,5.236501065799395,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260731,pair_06,0.02279156052413467,0.015625,256,4,5.154075284562069,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260731,pair_07,0.006278517316515297,0.0078125,256,2,5.622428733722427,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260731,pair_08,0.04857120880762078,0.0078125,256,2,5.527365919939345,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260731,pair_09,-0.010695541978158474,0.15625,256,40,5.5233130799527785,,,,replication,0.171875,0.171875
observed,quotient_exact,20260731,pair_10,0.076094138255423,0.0078125,256,2,5.129045358479052,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_01,0.1664393826631536,0.0078125,256,2,6.527828111694345,0.2007529120300917,0.5021323780378876,10000.0,primary,0.078125,0.0078125
observed,raw_coordinates,20260731,pair_02,0.1852622982907587,0.0078125,256,2,5.052252297251955,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_03,0.19902012584013362,0.0078125,256,2,6.36137166032402,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_04,0.2300973376510569,0.0078125,256,2,7.236550649865546,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_05,0.21354876623300378,0.0078125,256,2,6.051378292694846,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_06,0.2209360879920661,0.0078125,256,2,6.018246806060695,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_07,0.17900856298971057,0.0078125,256,2,6.246371206197915,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_08,0.21611156293405653,0.0078125,256,2,6.268259614498225,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_09,0.20892163600180536,0.0078125,256,2,6.354020292008515,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260731,pair_10,0.23542268748945794,0.0078125,256,2,6.035055707476718,,,,replication,0.078125,0.0703125
observed,moment_registration,20260731,pair_01,-0.006535732918554804,0.2109375,256,54,5.334903314208491,0.02965844326357669,0.3430514533868406,10000.0,primary,0.5859375,0.2109375
observed,moment_registration,20260731,pair_02,-0.003704583918598958,0.1953125,256,50,4.1494019415018935,,,,replication,0.5859375,0.390625
observed,moment_registration,20260731,pair_03,0.028328073546898036,0.015625,256,4,5.255072935625024,,,,replication,0.109375,0.09375
observed,moment_registration,20260731,pair_04,0.1306323839084984,0.0078125,256,2,6.192220047451432,,,,replication,0.078125,0.0703125
observed,moment_registration,20260731,pair_05,0.002797267028586403,0.125,256,32,5.043435081826478,,,,replication,0.5,0.375
observed,moment_registration,20260731,pair_06,0.02215460294539351,0.0078125,256,2,5.125298298099472,,,,replication,0.078125,0.0703125
observed,moment_registration,20260731,pair_07,0.000648662317344062,0.0546875,256,14,5.422663586709048,,,,replication,0.2734375,0.21875
observed,moment_registration,20260731,pair_08,0.025568320448337012,0.015625,256,4,5.412116858765948,,,,replication,0.109375,0.09375
observed,moment_registration,20260731,pair_09,-0.031136505617737398,0.9765625,256,250,5.262542505975149,,,,replication,0.9765625,0.9765625
observed,moment_registration,20260731,pair_10,0.07094973862362308,0.0078125,256,2,5.018223750071301,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260731,pair_01,0.7535395717250372,0.0078125,256,2,129.864352306551,0.5581940611948129,1.2290361794714035,10000.0,primary,0.078125,0.0078125
observed,euler_secondary,20260731,pair_02,0.2693313063734214,0.015625,256,4,129.50096524736796,,,,replication,0.078125,0.078125
observed,euler_secondary,20260731,pair_03,0.3778642559778336,0.0078125,256,2,152.04275714416653,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260731,pair_04,0.9265778506768743,0.0078125,256,2,177.00282483621552,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260731,pair_05,0.2716735266631993,0.015625,256,4,117.02350191307727,,,,replication,0.078125,0.078125
observed,euler_secondary,20260731,pair_06,-0.04557088347469873,0.6796875,256,174,128.0097652524994,,,,replication,0.6796875,0.6796875
observed,euler_secondary,20260731,pair_07,0.008987627765178474,0.0859375,256,22,92.10320298447823,,,,replication,0.2578125,0.2578125
observed,euler_secondary,20260731,pair_08,1.0776634191549872,0.0078125,256,2,168.51112722903494,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260731,pair_09,0.016123799025891006,0.3359375,256,86,84.3682404699778,,,,replication,0.671875,0.671875
observed,euler_secondary,20260731,pair_10,0.409276128998588,0.0078125,256,2,120.81597576479693,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260732,pair_01,0.003643781768319254,0.0078125,256,2,5.7314766778008135,,,,primary,0.078125,0.0078125
observed,quotient_exact,20260732,pair_02,0.004008483115694239,0.0859375,256,22,4.298224041509951,,,,replication,0.171875,0.171875
observed,quotient_exact,20260732,pair_03,0.004465351350659619,0.015625,256,4,5.398786796635266,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260732,pair_04,0.12660419501891929,0.0078125,256,2,6.493485207381483,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260732,pair_05,0.003078941038449412,0.0078125,256,2,5.236501065799395,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260732,pair_06,0.02279156052413467,0.015625,256,4,5.154075284562069,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260732,pair_07,0.006278517316515297,0.0078125,256,2,5.622428733722427,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260732,pair_08,0.04857120880762078,0.0078125,256,2,5.527365919939345,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260732,pair_09,-0.010695541978158474,0.15625,256,40,5.5233130799527785,,,,replication,0.171875,0.171875
observed,quotient_exact,20260732,pair_10,0.076094138255423,0.0078125,256,2,5.129045358479052,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_01,0.17060009884787697,0.0078125,256,2,6.5264220856542545,,,,primary,0.078125,0.0078125
observed,raw_coordinates,20260732,pair_02,0.23543252880262533,0.0078125,256,2,5.117120164526184,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_03,0.21050493729541908,0.0078125,256,2,6.314079449705614,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_04,0.2327354114406608,0.0078125,256,2,7.318884465554477,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_05,0.21060967268045439,0.0078125,256,2,6.146278067401461,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_06,0.17291707403964773,0.0078125,256,2,6.078760434973657,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_07,0.18277396449372985,0.0078125,256,2,6.323321955014014,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_08,0.20114577106926934,0.0078125,256,2,6.321806903221672,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_09,0.21068365212583529,0.0078125,256,2,6.343035297756247,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260732,pair_10,0.21212392608539543,0.0078125,256,2,5.968944522846448,,,,replication,0.078125,0.0703125
observed,moment_registration,20260732,pair_01,-0.006535732918554804,0.2109375,256,54,5.334903314208491,,,,primary,0.5859375,0.2109375
observed,moment_registration,20260732,pair_02,-0.003704583918598958,0.1953125,256,50,4.1494019415018935,,,,replication,0.5859375,0.390625
observed,moment_registration,20260732,pair_03,0.028328073546898036,0.015625,256,4,5.255072935625024,,,,replication,0.109375,0.09375
observed,moment_registration,20260732,pair_04,0.1306323839084984,0.0078125,256,2,6.192220047451432,,,,replication,0.078125,0.0703125
observed,moment_registration,20260732,pair_05,0.002797267028586403,0.125,256,32,5.043435081826478,,,,replication,0.5,0.375
observed,moment_registration,20260732,pair_06,0.02215460294539351,0.0078125,256,2,5.125298298099472,,,,replication,0.078125,0.0703125
observed,moment_registration,20260732,pair_07,0.000648662317344062,0.0546875,256,14,5.422663586709048,,,,replication,0.2734375,0.21875
observed,moment_registration,20260732,pair_08,0.025568320448337012,0.015625,256,4,5.412116858765948,,,,replication,0.109375,0.09375
observed,moment_registration,20260732,pair_09,-0.031136505617737398,0.9765625,256,250,5.262542505975149,,,,replication,0.9765625,0.9765625
observed,moment_registration,20260732,pair_10,0.07094973862362308,0.0078125,256,2,5.018223750071301,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260732,pair_01,0.7535395717250372,0.0078125,256,2,129.864352306551,,,,primary,0.078125,0.0078125
observed,euler_secondary,20260732,pair_02,0.2693313063734214,0.015625,256,4,129.50096524736796,,,,replication,0.078125,0.078125
observed,euler_secondary,20260732,pair_03,0.3778642559778336,0.0078125,256,2,152.04275714416653,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260732,pair_04,0.9265778506768743,0.0078125,256,2,177.00282483621552,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260732,pair_05,0.2716735266631993,0.015625,256,4,117.02350191307727,,,,replication,0.078125,0.078125
observed,euler_secondary,20260732,pair_06,-0.04557088347469873,0.6796875,256,174,128.0097652524994,,,,replication,0.6796875,0.6796875
observed,euler_secondary,20260732,pair_07,0.008987627765178474,0.0859375,256,22,92.10320298447823,,,,replication,0.2578125,0.2578125
observed,euler_secondary,20260732,pair_08,1.0776634191549872,0.0078125,256,2,168.51112722903494,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260732,pair_09,0.016123799025891006,0.3359375,256,86,84.3682404699778,,,,replication,0.671875,0.671875
observed,euler_secondary,20260732,pair_10,0.409276128998588,0.0078125,256,2,120.81597576479693,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260733,pair_01,0.003643781768319254,0.0078125,256,2,5.7314766778008135,,,,primary,0.078125,0.0078125
observed,quotient_exact,20260733,pair_02,0.004008483115694239,0.0859375,256,22,4.298224041509951,,,,replication,0.171875,0.171875
observed,quotient_exact,20260733,pair_03,0.004465351350659619,0.015625,256,4,5.398786796635266,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260733,pair_04,0.12660419501891929,0.0078125,256,2,6.493485207381483,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260733,pair_05,0.003078941038449412,0.0078125,256,2,5.236501065799395,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260733,pair_06,0.02279156052413467,0.015625,256,4,5.154075284562069,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260733,pair_07,0.006278517316515297,0.0078125,256,2,5.622428733722427,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260733,pair_08,0.04857120880762078,0.0078125,256,2,5.527365919939345,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260733,pair_09,-0.010695541978158474,0.15625,256,40,5.5233130799527785,,,,replication,0.171875,0.171875
observed,quotient_exact,20260733,pair_10,0.076094138255423,0.0078125,256,2,5.129045358479052,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_01,0.15520759062783418,0.0078125,256,2,6.506771855665439,,,,primary,0.078125,0.0078125
observed,raw_coordinates,20260733,pair_02,0.1981010630003297,0.0078125,256,2,5.049910590950389,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_03,0.20256970776700955,0.0078125,256,2,6.349343138461998,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_04,0.22570067264246874,0.0078125,256,2,7.229779168766283,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_05,0.19830520559709863,0.0078125,256,2,6.0122470523992755,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_06,0.18970810016580442,0.0078125,256,2,6.08282748071555,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_07,0.19759749887469236,0.0078125,256,2,6.325910354264756,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_08,0.2168572770573468,0.0078125,256,2,6.34136792177744,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_09,0.22229002777820095,0.0078125,256,2,6.324614759214989,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260733,pair_10,0.24910701386768297,0.0078125,256,2,6.0520209032117185,,,,replication,0.078125,0.0703125
observed,moment_registration,20260733,pair_01,-0.006535732918554804,0.2109375,256,54,5.334903314208491,,,,primary,0.5859375,0.2109375
observed,moment_registration,20260733,pair_02,-0.003704583918598958,0.1953125,256,50,4.1494019415018935,,,,replication,0.5859375,0.390625
observed,moment_registration,20260733,pair_03,0.028328073546898036,0.015625,256,4,5.255072935625024,,,,replication,0.109375,0.09375
observed,moment_registration,20260733,pair_04,0.1306323839084984,0.0078125,256,2,6.192220047451432,,,,replication,0.078125,0.0703125
observed,moment_registration,20260733,pair_05,0.002797267028586403,0.125,256,32,5.043435081826478,,,,replication,0.5,0.375
observed,moment_registration,20260733,pair_06,0.02215460294539351,0.0078125,256,2,5.125298298099472,,,,replication,0.078125,0.0703125
observed,moment_registration,20260733,pair_07,0.000648662317344062,0.0546875,256,14,5.422663586709048,,,,replication,0.2734375,0.21875
observed,moment_registration,20260733,pair_08,0.025568320448337012,0.015625,256,4,5.412116858765948,,,,replication,0.109375,0.09375
observed,moment_registration,20260733,pair_09,-0.031136505617737398,0.9765625,256,250,5.262542505975149,,,,replication,0.9765625,0.9765625
observed,moment_registration,20260733,pair_10,0.07094973862362308,0.0078125,256,2,5.018223750071301,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260733,pair_01,0.7535395717250372,0.0078125,256,2,129.864352306551,,,,primary,0.078125,0.0078125
observed,euler_secondary,20260733,pair_02,0.2693313063734214,0.015625,256,4,129.50096524736796,,,,replication,0.078125,0.078125
observed,euler_secondary,20260733,pair_03,0.3778642559778336,0.0078125,256,2,152.04275714416653,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260733,pair_04,0.9265778506768743,0.0078125,256,2,177.00282483621552,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260733,pair_05,0.2716735266631993,0.015625,256,4,117.02350191307727,,,,replication,0.078125,0.078125
observed,euler_secondary,20260733,pair_06,-0.04557088347469873,0.6796875,256,174,128.0097652524994,,,,replication,0.6796875,0.6796875
observed,euler_secondary,20260733,pair_07,0.008987627765178474,0.0859375,256,22,92.10320298447823,,,,replication,0.2578125,0.2578125
observed,euler_secondary,20260733,pair_08,1.0776634191549872,0.0078125,256,2,168.51112722903494,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260733,pair_09,0.016123799025891006,0.3359375,256,86,84.3682404699778,,,,replication,0.671875,0.671875
observed,euler_secondary,20260733,pair_10,0.409276128998588,0.0078125,256,2,120.81597576479693,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260734,pair_01,0.003643781768319254,0.0078125,256,2,5.7314766778008135,,,,primary,0.078125,0.0078125
observed,quotient_exact,20260734,pair_02,0.004008483115694239,0.0859375,256,22,4.298224041509951,,,,replication,0.171875,0.171875
observed,quotient_exact,20260734,pair_03,0.004465351350659619,0.015625,256,4,5.398786796635266,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260734,pair_04,0.12660419501891929,0.0078125,256,2,6.493485207381483,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260734,pair_05,0.003078941038449412,0.0078125,256,2,5.236501065799395,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260734,pair_06,0.02279156052413467,0.015625,256,4,5.154075284562069,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260734,pair_07,0.006278517316515297,0.0078125,256,2,5.622428733722427,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260734,pair_08,0.04857120880762078,0.0078125,256,2,5.527365919939345,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260734,pair_09,-0.010695541978158474,0.15625,256,40,5.5233130799527785,,,,replication,0.171875,0.171875
observed,quotient_exact,20260734,pair_10,0.076094138255423,0.0078125,256,2,5.129045358479052,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_01,0.14403440991586192,0.0078125,256,2,6.478248165298163,,,,primary,0.078125,0.0078125
observed,raw_coordinates,20260734,pair_02,0.20079842600354758,0.0078125,256,2,5.081282179714343,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_03,0.20158114429620866,0.0078125,256,2,6.276699845650894,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_04,0.22872550091889143,0.0078125,256,2,7.205988458299929,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_05,0.18300271269882973,0.0078125,256,2,6.074764080104754,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_06,0.19633764541591125,0.0078125,256,2,5.988948069487583,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_07,0.19464238008656565,0.0078125,256,2,6.261942548255668,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_08,0.20127735586723428,0.0078125,256,2,6.2758808390648015,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_09,0.2017027621831773,0.0078125,256,2,6.311585486763917,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260734,pair_10,0.22095947597913124,0.0078125,256,2,5.863205275606663,,,,replication,0.078125,0.0703125
observed,moment_registration,20260734,pair_01,-0.006535732918554804,0.2109375,256,54,5.334903314208491,,,,primary,0.5859375,0.2109375
observed,moment_registration,20260734,pair_02,-0.003704583918598958,0.1953125,256,50,4.1494019415018935,,,,replication,0.5859375,0.390625
observed,moment_registration,20260734,pair_03,0.028328073546898036,0.015625,256,4,5.255072935625024,,,,replication,0.109375,0.09375
observed,moment_registration,20260734,pair_04,0.1306323839084984,0.0078125,256,2,6.192220047451432,,,,replication,0.078125,0.0703125
observed,moment_registration,20260734,pair_05,0.002797267028586403,0.125,256,32,5.043435081826478,,,,replication,0.5,0.375
observed,moment_registration,20260734,pair_06,0.02215460294539351,0.0078125,256,2,5.125298298099472,,,,replication,0.078125,0.0703125
observed,moment_registration,20260734,pair_07,0.000648662317344062,0.0546875,256,14,5.422663586709048,,,,replication,0.2734375,0.21875
observed,moment_registration,20260734,pair_08,0.025568320448337012,0.015625,256,4,5.412116858765948,,,,replication,0.109375,0.09375
observed,moment_registration,20260734,pair_09,-0.031136505617737398,0.9765625,256,250,5.262542505975149,,,,replication,0.9765625,0.9765625
observed,moment_registration,20260734,pair_10,0.07094973862362308,0.0078125,256,2,5.018223750071301,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260734,pair_01,0.7535395717250372,0.0078125,256,2,129.864352306551,,,,primary,0.078125,0.0078125
observed,euler_secondary,20260734,pair_02,0.2693313063734214,0.015625,256,4,129.50096524736796,,,,replication,0.078125,0.078125
observed,euler_secondary,20260734,pair_03,0.3778642559778336,0.0078125,256,2,152.04275714416653,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260734,pair_04,0.9265778506768743,0.0078125,256,2,177.00282483621552,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260734,pair_05,0.2716735266631993,0.015625,256,4,117.02350191307727,,,,replication,0.078125,0.078125
observed,euler_secondary,20260734,pair_06,-0.04557088347469873,0.6796875,256,174,128.0097652524994,,,,replication,0.6796875,0.6796875
observed,euler_secondary,20260734,pair_07,0.008987627765178474,0.0859375,256,22,92.10320298447823,,,,replication,0.2578125,0.2578125
observed,euler_secondary,20260734,pair_08,1.0776634191549872,0.0078125,256,2,168.51112722903494,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260734,pair_09,0.016123799025891006,0.3359375,256,86,84.3682404699778,,,,replication,0.671875,0.671875
observed,euler_secondary,20260734,pair_10,0.409276128998588,0.0078125,256,2,120.81597576479693,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260735,pair_01,0.003643781768319254,0.0078125,256,2,5.7314766778008135,,,,primary,0.078125,0.0078125
observed,quotient_exact,20260735,pair_02,0.004008483115694239,0.0859375,256,22,4.298224041509951,,,,replication,0.171875,0.171875
observed,quotient_exact,20260735,pair_03,0.004465351350659619,0.015625,256,4,5.398786796635266,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260735,pair_04,0.12660419501891929,0.0078125,256,2,6.493485207381483,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260735,pair_05,0.003078941038449412,0.0078125,256,2,5.236501065799395,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260735,pair_06,0.02279156052413467,0.015625,256,4,5.154075284562069,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260735,pair_07,0.006278517316515297,0.0078125,256,2,5.622428733722427,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260735,pair_08,0.04857120880762078,0.0078125,256,2,5.527365919939345,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260735,pair_09,-0.010695541978158474,0.15625,256,40,5.5233130799527785,,,,replication,0.171875,0.171875
observed,quotient_exact,20260735,pair_10,0.076094138255423,0.0078125,256,2,5.129045358479052,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_01,0.15673261808019578,0.0078125,256,2,6.577624974493478,,,,primary,0.078125,0.0078125
observed,raw_coordinates,20260735,pair_02,0.18882852029254082,0.0078125,256,2,5.105431810502278,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_03,0.21891263749735368,0.0078125,256,2,6.400097793953581,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_04,0.21636817114172924,0.0078125,256,2,7.259172231326314,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_05,0.20944273337483654,0.0078125,256,2,6.107876664921784,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_06,0.19521389261088629,0.0078125,256,2,5.899570062706092,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_07,0.17538761101448486,0.0078125,256,2,6.313792340925972,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_08,0.19063445067813534,0.0078125,256,2,6.185664355140808,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_09,0.18310816362055504,0.0078125,256,2,6.295834955218156,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260735,pair_10,0.20208146616106193,0.0078125,256,2,5.961880540631841,,,,replication,0.078125,0.0703125
observed,moment_registration,20260735,pair_01,-0.006535732918554804,0.2109375,256,54,5.334903314208491,,,,primary,0.5859375,0.2109375
observed,moment_registration,20260735,pair_02,-0.003704583918598958,0.1953125,256,50,4.1494019415018935,,,,replication,0.5859375,0.390625
observed,moment_registration,20260735,pair_03,0.028328073546898036,0.015625,256,4,5.255072935625024,,,,replication,0.109375,0.09375
observed,moment_registration,20260735,pair_04,0.1306323839084984,0.0078125,256,2,6.192220047451432,,,,replication,0.078125,0.0703125
observed,moment_registration,20260735,pair_05,0.002797267028586403,0.125,256,32,5.043435081826478,,,,replication,0.5,0.375
observed,moment_registration,20260735,pair_06,0.02215460294539351,0.0078125,256,2,5.125298298099472,,,,replication,0.078125,0.0703125
observed,moment_registration,20260735,pair_07,0.000648662317344062,0.0546875,256,14,5.422663586709048,,,,replication,0.2734375,0.21875
observed,moment_registration,20260735,pair_08,0.025568320448337012,0.015625,256,4,5.412116858765948,,,,replication,0.109375,0.09375
observed,moment_registration,20260735,pair_09,-0.031136505617737398,0.9765625,256,250,5.262542505975149,,,,replication,0.9765625,0.9765625
observed,moment_registration,20260735,pair_10,0.07094973862362308,0.0078125,256,2,5.018223750071301,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260735,pair_01,0.7535395717250372,0.0078125,256,2,129.864352306551,,,,primary,0.078125,0.0078125
observed,euler_secondary,20260735,pair_02,0.2693313063734214,0.015625,256,4,129.50096524736796,,,,replication,0.078125,0.078125
observed,euler_secondary,20260735,pair_03,0.3778642559778336,0.0078125,256,2,152.04275714416653,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260735,pair_04,0.9265778506768743,0.0078125,256,2,177.00282483621552,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260735,pair_05,0.2716735266631993,0.015625,256,4,117.02350191307727,,,,replication,0.078125,0.078125
observed,euler_secondary,20260735,pair_06,-0.04557088347469873,0.6796875,256,174,128.0097652524994,,,,replication,0.6796875,0.6796875
observed,euler_secondary,20260735,pair_07,0.008987627765178474,0.0859375,256,22,92.10320298447823,,,,replication,0.2578125,0.2578125
observed,euler_secondary,20260735,pair_08,1.0776634191549872,0.0078125,256,2,168.51112722903494,,,,replication,0.078125,0.0703125
observed,euler_secondary,20260735,pair_09,0.016123799025891006,0.3359375,256,86,84.3682404699778,,,,replication,0.671875,0.671875
observed,euler_secondary,20260735,pair_10,0.409276128998588,0.0078125,256,2,120.81597576479693,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260736,pair_01,0.003643781768319254,0.0078125,256,2,5.7314766778008135,,,,primary,0.078125,0.0078125
observed,quotient_exact,20260736,pair_02,0.004008483115694239,0.0859375,256,22,4.298224041509951,,,,replication,0.171875,0.171875
observed,quotient_exact,20260736,pair_03,0.004465351350659619,0.015625,256,4,5.398786796635266,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260736,pair_04,0.12660419501891929,0.0078125,256,2,6.493485207381483,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260736,pair_05,0.003078941038449412,0.0078125,256,2,5.236501065799395,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260736,pair_06,0.02279156052413467,0.015625,256,4,5.154075284562069,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260736,pair_07,0.006278517316515297,0.0078125,256,2,5.622428733722427,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260736,pair_08,0.04857120880762078,0.0078125,256,2,5.527365919939345,,,,replication,0.078125,0.0703125
observed,quotient_exact,20260736,pair_09,-0.010695541978158474,0.15625,256,40,5.5233130799527785,,,,replication,0.171875,0.171875
observed,quotient_exact,20260736,pair_10,0.076094138255423,0.0078125,256,2,5.129045358479052,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_01,0.17543581147230225,0.0078125,256,2,6.589188366767434,,,,primary,0.078125,0.0078125
observed,raw_coordinates,20260736,pair_02,0.17805288757675997,0.0078125,256,2,5.070603922506672,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_03,0.232408232315229,0.0078125,256,2,6.365284724239309,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_04,0.2222643289299321,0.0078125,256,2,7.144495019217269,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_05,0.2082491381236169,0.0078125,256,2,6.084725245398796,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_06,0.2105536708169906,0.0078125,256,2,6.108385570463685,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_07,0.1577804948024698,0.0078125,256,2,6.185516728416083,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_08,0.18598473233280655,0.0078125,256,2,6.271418832974948,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_09,0.1756626458639471,0.0078125,256,2,6.253011438692182,,,,replication,0.078125,0.0703125
observed,raw_coordinates,20260736,pair_10,0.18584548719210736,0.0078125,256,2,5.942632804136435,,,,replication,0.078125,0.0703125
